ano,percentual_nivel_5,percentual_nivel_8,percentual_nivel_1,tipo_localizacao,quantidade_alunos_inse,percentual_nivel_3,sigla_uf,sigla_uf_nome,inse,percentual_nivel_2,percentual_nivel_4,rede,area,percentual_nivel_6,percentual_nivel_7
2019,23.77,5,0.08,Urbana,1795,4.95,BA,Bahia,5.64,1.53,13.25,Privada,Interior,25.41,26.01
2019,20.89,5.49,0.08,Urbana,868,5.3,ES,Espírito Santo,5.63,2.62,15.05,Federal,Total (Capital e Interior),22.13,28.44
2019,18.59,9.19,0.08,Total (Urbana e Rural),41770,4.56,PR,Paraná,5.83,1.53,10.36,"Total (Federal, Estadual, Municipal e Privada)",Capital,22.77,32.92
2019,18.59,9.19,0.08,Urbana,41770,4.56,PR,Paraná,5.83,1.53,10.36,"Total (Federal, Estadual, Municipal e Privada)",Capital,22.77,32.92
2019,23.1,4,0.08,Total (Urbana e Rural),181384,6.14,SC,Santa Catarina,5.59,2.19,13.77,"Total (Federal, Estadual, Municipal e Privada)",Total (Capital e Interior),25.27,25.45
2019,22.87,4.16,0.08,Urbana,169391,5.96,SC,Santa Catarina,5.6,2.13,13.51,"Total (Federal, Estadual, Municipal e Privada)",Total (Capital e Interior),25.3,25.99
2019,27.89,0.89,0.08,Rural,7266,9.35,SC,Santa Catarina,5.33,3.08,18.42,Municipal,Interior,24.7,15.6
2019,25.71,1.78,0.08,Total (Urbana e Rural),169199,6.93,SC,Santa Catarina,5.47,2.47,15.62,Total (Estadual e Municipal),Interior,26.23,21.18
2019,25.6,1.82,0.08,Urbana,157583,6.76,SC,Santa Catarina,5.48,2.42,15.43,Total (Estadual e Municipal),Interior,26.35,21.55
2019,25.62,1.81,0.08,Total (Urbana e Rural),171197,6.87,SC,Santa Catarina,5.47,2.45,15.51,"Total (Federal, Estadual e Municipal)",Interior,26.31,21.35
2019,25.41,1.87,0.08,Urbana,166660,6.85,SC,Santa Catarina,5.48,2.45,15.44,"Total (Federal, Estadual e Municipal)",Total (Capital e Interior),26.3,21.59
2019,25.51,1.86,0.08,Urbana,159355,6.71,SC,Santa Catarina,5.48,2.4,15.31,"Total (Federal, Estadual e Municipal)",Interior,26.42,21.72
2019,16.96,7.03,0.08,Urbana,1929,5.2,RS,Rio Grande do Sul,5.8,1.58,9.27,Federal,Interior,25.86,34.01
2021,14.65,12.96,0.08,Urbana,830,2.37,RO,Rondônia,6.04,0.86,6.94,Privada,Interior,21.46,40.68
2021,9.82,16.8,0.08,Total (Urbana e Rural),1940,1.37,MG,Minas Gerais,6.25,0.15,2.88,Privada,Total (Capital e Interior),21.57,47.33
2021,9.78,16.93,0.08,Urbana,1790,1.22,MG,Minas Gerais,6.26,0.03,2.67,Privada,Total (Capital e Interior),21.66,47.62
2021,21.86,3.62,0.08,Total (Urbana e Rural),22026,4.26,PR,Paraná,5.67,1.43,11.74,Estadual,Capital,27.35,29.66
2021,21.86,3.62,0.08,Urbana,22026,4.26,PR,Paraná,5.67,1.43,11.74,Estadual,Capital,27.35,29.66
2021,23.18,3.21,0.08,Total (Urbana e Rural),36343,5.18,PR,Paraná,5.6,1.77,13.4,Total (Estadual e Municipal),Capital,26.56,26.63
2021,23.18,3.21,0.08,Urbana,36343,5.18,PR,Paraná,5.6,1.77,13.4,Total (Estadual e Municipal),Capital,26.56,26.63
2021,22.94,3.43,0.08,Total (Urbana e Rural),36544,5.12,PR,Paraná,5.61,1.75,13.25,"Total (Federal, Estadual e Municipal)",Capital,26.37,27.05
2021,22.94,3.43,0.08,Urbana,36544,5.12,PR,Paraná,5.61,1.75,13.25,"Total (Federal, Estadual e Municipal)",Capital,26.37,27.05
2019,23.41,0.79,0.09,Total (Urbana e Rural),955,16.84,RO,Rondônia,5.1,5.03,25.99,Federal,Total (Capital e Interior),15.62,12.23
2019,20.06,5.51,0.09,Total (Urbana e Rural),3213,8.42,PA,Pará,5.55,4.17,15.23,Privada,Total (Capital e Interior),19.91,26.61
2019,20.05,5.56,0.09,Urbana,3070,8.37,PA,Pará,5.56,3.93,15.11,Privada,Total (Capital e Interior),20.07,26.82
2019,17.56,10.26,0.09,Total (Urbana e Rural),2438,3.3,TO,Tocantins,5.93,1.08,8.15,Privada,Total (Capital e Interior),22.72,36.85
2019,22.51,4.8,0.09,Total (Urbana e Rural),5014,8.36,CE,Ceará,5.51,3.01,16.56,Privada,Total (Capital e Interior),21.55,23.11
2019,22.51,4.8,0.09,Urbana,5003,8.35,CE,Ceará,5.51,2.99,16.57,Privada,Total (Capital e Interior),21.56,23.13
2019,24.36,2.71,0.09,Total (Urbana e Rural),1316,7.37,AL,Alagoas,5.49,1.66,17.04,Privada,Interior,25.57,21.2
2019,24.39,2.74,0.09,Urbana,1248,7.28,AL,Alagoas,5.5,1.52,16.92,Privada,Interior,25.74,21.32
2019,22.86,4.04,0.09,Urbana,3811,7.24,SE,Sergipe,5.54,2.94,14.84,Privada,Total (Capital e Interior),23.92,24.07
2019,23.6,4.08,0.09,Total (Urbana e Rural),923,6.16,ES,Espírito Santo,5.51,2.67,18.22,Federal,Interior,22.61,22.56
2019,19.1,6.07,0.09,Total (Urbana e Rural),2056,3.35,PR,Paraná,5.86,0.48,9.61,Federal,Total (Capital e Interior),23.75,37.55
2019,19.01,6.14,0.09,Urbana,2037,3.13,PR,Paraná,5.86,0.43,9.6,Federal,Total (Capital e Interior),23.79,37.81
2019,19.08,4.71,0.09,Total (Urbana e Rural),1998,2.46,SC,Santa Catarina,5.83,0.7,7.3,Federal,Interior,31.58,34.07
2019,25.6,1.73,0.09,Urbana,85819,6.81,SC,Santa Catarina,5.47,2.51,15.45,Estadual,Interior,26.26,21.55
2019,25.65,1.77,0.09,Total (Urbana e Rural),176159,7.07,SC,Santa Catarina,5.46,2.52,15.76,Total (Estadual e Municipal),Total (Capital e Interior),26.13,21
2019,25.53,1.81,0.09,Urbana,164414,6.93,SC,Santa Catarina,5.47,2.48,15.59,Total (Estadual e Municipal),Total (Capital e Interior),26.23,21.34
2019,25.53,1.82,0.09,Total (Urbana e Rural),178631,6.99,SC,Santa Catarina,5.47,2.49,15.62,"Total (Federal, Estadual e Municipal)",Total (Capital e Interior),26.2,21.25
2019,10.56,17.53,0.09,Total (Urbana e Rural),2927,1.1,MS,Mato Grosso do Sul,6.25,0.3,4.74,Privada,Total (Capital e Interior),19.3,46.39
2019,10.28,17.92,0.09,Urbana,2781,0.7,MS,Mato Grosso do Sul,6.28,0.13,4.14,Privada,Total (Capital e Interior),19.44,47.29
2021,23.14,2.91,0.09,Total (Urbana e Rural),980,12.35,PA,Pará,5.37,3.12,18.77,Privada,Capital,19.41,20.22
2021,23.14,2.91,0.09,Urbana,980,12.35,PA,Pará,5.37,3.12,18.77,Privada,Capital,19.41,20.22
2021,26.05,3.33,0.09,Urbana,2159,7.36,MA,Maranhão,5.44,2.88,18.03,Privada,Interior,23.18,19.06
2021,16.98,9,0.09,Total (Urbana e Rural),928,2.92,PB,Paraíba,5.85,1.3,10.36,Privada,Capital,25.48,33.87
2021,16.98,9,0.09,Urbana,928,2.92,PB,Paraíba,5.85,1.3,10.36,Privada,Capital,25.48,33.87
2021,9.15,10.92,0.09,Total (Urbana e Rural),199,0.84,BA,Bahia,6.21,0.37,2.9,Federal,Total (Capital e Interior),21.08,54.64
2021,9.15,10.92,0.09,Urbana,199,0.84,BA,Bahia,6.21,0.37,2.9,Federal,Total (Capital e Interior),21.08,54.64
2021,23.54,3.87,0.09,Urbana,2099,8.22,BA,Bahia,5.52,1.27,16.94,Privada,Total (Capital e Interior),23.26,22.82
2021,23.1,5.28,0.09,Total (Urbana e Rural),167174,5.42,SC,Santa Catarina,5.63,1.78,13.15,"Total (Federal, Estadual, Municipal e Privada)",Total (Capital e Interior),25.22,25.96
2021,23.39,4.8,0.09,Total (Urbana e Rural),161770,5.39,SC,Santa Catarina,5.62,1.76,13.18,"Total (Federal, Estadual, Municipal e Privada)",Interior,25.63,25.76
2021,22.79,5.48,0.09,Urbana,156620,5.33,SC,Santa Catarina,5.64,1.72,12.92,"Total (Federal, Estadual, Municipal e Privada)",Total (Capital e Interior),25.26,26.4
2021,23.07,4.99,0.09,Urbana,151307,5.29,SC,Santa Catarina,5.63,1.7,12.93,"Total (Federal, Estadual, Municipal e Privada)",Interior,25.7,26.22
