ano,sigla_uf,sigla_uf_nome,gini
2021,SC,Santa Catarina,0.425
2021,SE,Sergipe,0.566
2021,SP,São Paulo,0.532
2021,TO,Tocantins,0.515
2022,AC,Acre,0.523
2022,AL,Alagoas,0.498
2022,AM,Amazonas,0.509
2022,AP,Amapá,0.531
2022,BA,Bahia,0.507
2022,CE,Ceará,0.516
2022,DF,Distrito Federal,0.536
2022,ES,Espírito Santo,0.490
2022,GO,Goiás,0.455
2022,MA,Maranhão,0.490
2022,MG,Minas Gerais,0.465
2022,MS,Mato Grosso do Sul,0.479
2022,MT,Mato Grosso,0.450
2022,PA,Pará,0.506
2022,PB,Paraíba,0.558
2022,PE,Pernambuco,0.514
2022,PI,Piauí,0.518
2022,PR,Paraná,0.468
2022,RJ,Rio de Janeiro,0.540
2022,RN,Rio Grande do Norte,0.523
2022,RO,Rondônia,0.446
2022,RR,Roraima,0.548
2022,RS,Rio Grande do Sul,0.466
2022,SC,Santa Catarina,0.419
2022,SE,Sergipe,0.526
2022,SP,São Paulo,0.499
2022,TO,Tocantins,0.507
2023,AC,Acre,0.510
2023,AL,Alagoas,0.486
2023,AM,Amazonas,0.511
2023,AP,Amapá,0.491
2023,BA,Bahia,0.485
2023,CE,Ceará,0.510
2023,DF,Distrito Federal,0.542
2023,ES,Espírito Santo,0.483
2023,GO,Goiás,0.472
2023,MA,Maranhão,0.491
2023,MG,Minas Gerais,0.474
2023,MS,Mato Grosso do Sul,0.476
2023,MT,Mato Grosso,0.453
2023,PA,Pará,0.499
2023,PB,Paraíba,0.561
2023,PE,Pernambuco,0.495
2023,PI,Piauí,0.549
2023,PR,Paraná,0.461
2023,RJ,Rio de Janeiro,0.539
2023,RN,Rio Grande do Norte,0.530
2023,RO,Rondônia,0.454
2023,RR,Roraima,0.521
2023,RS,Rio Grande do Sul,0.465
2023,SC,Santa Catarina,0.418
2023,SE,Sergipe,0.503
2023,SP,São Paulo,0.503
2023,TO,Tocantins,0.478
2024,AC,Acre,0.502
2024,AL,Alagoas,0.516
2024,AM,Amazonas,0.474
2024,AP,Amapá,0.509
2024,BA,Bahia,0.477
2024,CE,Ceará,0.487
2024,DF,Distrito Federal,0.547
2024,ES,Espírito Santo,0.480
2024,GO,Goiás,0.462
2024,MA,Maranhão,0.487
2024,MG,Minas Gerais,0.447
2024,MS,Mato Grosso do Sul,0.454
2024,MT,Mato Grosso,0.442
2024,PA,Pará,0.490
2024,PB,Paraíba,0.496
2024,PE,Pernambuco,0.530
2024,PI,Piauí,0.493
2024,PR,Paraná,0.473
2024,RJ,Rio de Janeiro,0.522
2024,RN,Rio Grande do Norte,0.522
2024,RO,Rondônia,0.442
2024,RR,Roraima,0.530
2024,RS,Rio Grande do Sul,0.458
2024,SC,Santa Catarina,0.430
2024,SE,Sergipe,0.498
2024,SP,São Paulo,0.489
2024,TO,Tocantins,0.477
2025,AC,Acre,0.509
2025,AL,Alagoas,0.512
2025,AM,Amazonas,0.488
2025,AP,Amapá,0.496
2025,BA,Bahia,0.466
2025,CE,Ceará,0.506
2025,DF,Distrito Federal,0.570
2025,ES,Espírito Santo,0.480
2025,GO,Goiás,0.479
2025,MA,Maranhão,0.491
2025,MG,Minas Gerais,0.473
2025,MS,Mato Grosso do Sul,0.457
2025,MT,Mato Grosso,0.439
2025,PA,Pará,0.492
2025,PB,Paraíba,0.507
2025,PE,Pernambuco,0.520
2025,PI,Piauí,0.508
2025,PR,Paraná,0.470
2025,RJ,Rio de Janeiro,0.543
2025,RN,Rio Grande do Norte,0.540
2025,RO,Rondônia,0.458
2025,RR,Roraima,0.506
2025,RS,Rio Grande do Sul,0.468
2025,SC,Santa Catarina,0.425
2025,SE,Sergipe,0.532
2025,SP,São Paulo,0.491
2025,TO,Tocantins,0.472
